country,death_rate,access,gdp,population,continent
Sudan,85.03,38.949999999999996,4187.86272224264,38902948,Africa
Suriname,10.25,89.26,19317.0545070113,559136,South America
Sweden,0.02,100,50928.962975552,9764949,Europe
Switzerland,0.01,100,68025.9200383988,8296775,Europe
Tajikistan,80.59,78.55,2984.49491330069,8454019,Asia
Tanzania,138.11,2.15,2354.13898543629,51482638,Africa
Thailand,10.33,74.33,16285.3865749723,68714519,Asia
Timor,139.24,6.53,3297.88916309166,1196294,Asia
Togo,146.18,6.24,1920.46930701736,7323162,Africa
Tonga,48.7,58.849999999999994,5944.4526863595,100780,Oceania
Trinidad and Tobago,0.1,99.27,29053.3347831462,1370332,North America
Tunisia,0.32,99.03,10510.3303060416,11179951,Africa
Turkmenistan,0.21,99.27,12993.5318096291,5565283,Asia
Tuvalu,25.52,48.5,3720.30531533443,11099,Oceania
Uganda,136.26,0.760000000000005,2054.09044873783,38225447,Africa
Ukraine,4.39,95.49000000000001,11237.0744571217,44921636,Europe
United Arab Emirates,0.01,98.63,65218.8204340815,9262896,Asia
United Kingdom,0.01,100,44840.7826443684,65860149,Europe
United States,0.03,100,58540.2960929977,320878312,North America
Uruguay,1.24,97.91000000000001,22425.8300844671,3412013,South America
Uzbekistan,32.67,91.82,6086.71574219326,30929556,Asia
Vanuatu,229.44,12.719999999999999,2915.70045998521,271128,Oceania
Vietnam,51.81,63.809999999999995,6438.25985369358,92677082,Asia
Zambia,128.41,16.310000000000002,3443.55325404862,15879370,Africa
Zimbabwe,143.48,29.36,3198.982128793,13814642,Africa
